trust_1	populism_1	populism_2	populism_3	populism_4	populism_5	age	gender	hhi	hispanic	cov_beh_sum	cons_biowpn	cons_covax	cons_biowpn_dummy	cons_covax_dummy	white	highered	idlg	pid3	pid2	md_radio	md_national	md_broadcast	md_localtv	md_localpap	md_fox	md_con	md_agg	weight	rw_news	ms_news
4	3	4	3	2	1	19	2	1	0	15.0	2.0	2.0	0.0	0.0	1.0	0.0	4.0	2.0	2.0	1.0	3.0	2.0	4.0	1.0	3.0	1.0	1.0	0.9664874	2.0	2.0
3	3	2	2	3	4	20	1	5	0	8.0	4.0	2.0	1.0	0.0	1.0	0.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	3.0	2.0	1.0	3.0	0.9664874	1.5	3.0
3	4	4	3	1	1	66	2	15	0	17.0	1.0	2.0	0.0	0.0	1.0	1.0	4.0			3.0	2.0	4.0	4.0	4.0	2.0	1.0	1.0	0.68068993	1.5	3.0
1	2	2	2	3	3	32	2	8	0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	7.0	3.0	2.0	4.0	1.0	1.0	2.0	2.0	3.0	4.0	1.0	1.4648074	3.5	1.8333334
3	3	1	4	3	3	18	2	9	0	5.0	3.0	3.0	1.0	1.0	1.0	1.0	4.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	4.0	2.0	4.0	0.68068993	3.0	2.8333333
4	4	4	4	4	4	42	1	18	0	2.0	4.0	4.0	1.0	1.0	1.0	1.0	7.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	0.68068993	3.5	3.3333333
4	4	4	4	4	1	56	2	3	0	19.0	3.0	3.0	1.0	1.0	1.0	0.0	4.0	1.0	1.0	1.0	3.0	4.0	4.0	3.0	2.0	1.0	3.0	0.9664874	1.5	3.0
4	4	4	3	3	1	55	2	8	0	19.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	4.0	4.0	4.0	3.0	1.0	1.0	3.0	1.4648074	1.0	3.5
3	3	2	4	2	2	24	2	3	1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.8511235	1.0	1.0
2	3	2	3	2	2	23	2	1	0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	2.0	1.0	3.0	2.0	4.0	2.0	1.0	2.0	0.9664874	1.5	2.3333333
4	3	4	1	2	1	51	2	1	0	9.0	1.0	1.0	0.0	0.0	1.0	0.0	7.0	2.0	2.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	0.9664874	3.5	3.3333333
4	4	4	4	4	4	40	1	20	0	22.0	4.0	4.0	1.0	1.0	1.0	1.0	6.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	0.68068993	3.0	3.1666667
3	3	4	3	1	1	32	2	20	0	21.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0316527	2.5	3.5
3	2	3	3	1	2	23	1	2	0	20.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	1.0	0.68068993	2.0	1.8333334
4	3	3	3	2	3	23	2	3	0	18.0	3.0	3.0	1.0	1.0	0.0	0.0	6.0	3.0	2.0	3.0	2.0	4.0	4.0	2.0	4.0	2.0	3.0	1.4648074	3.0	3.0
4	4	4	4	4	4	22	2	8	0	1.0	4.0	4.0	1.0	1.0	1.0	0.0		3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.0
3	2	2	2	2	2	63	2	4	0	5.0	2.0	2.0	0.0	0.0	1.0	0.0		2.0	2.0	1.0	2.0	3.0	4.0	2.0	2.0	1.0	1.0	0.9664874	1.5	2.1666667
4	3	1	1	1	2	34	1	24	1	5.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	2.0	1.3037325	3.0	3.0
3	2	3	3	3	1	25	1	5	0	2.0	3.0	4.0	1.0	1.0	0.0	0.0	6.0	1.0	1.0	3.0	1.0	4.0	4.0	2.0	3.0	4.0	2.0	1.4648074	3.5	2.6666667
4	4	3	4	4	4	41	1	21	0	12.0	4.0	4.0	1.0	1.0	1.0	1.0	6.0	3.0	2.0	4.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	0.68068993	3.5	3.3333333
4	4	3	3	2	1	39	2	5	0	13.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	4.0	4.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0316527	1.5	2.8333333
4	2	4	1	2	1	71	2	5	0	15.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	0.9664874	1.0	3.0
4	4	4	2	3	1	70	1	7	0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	4.0	3.0	4.0	4.0	1.0	1.0	1.0	0.9664874	1.0	2.8333333
